s0	energy	polSign	whichTransition	polType	sidebandFreqs	sidebandAmps
20.0	-1.4	1	XA	3D	0.0	0.0
20.0	-10.7	1	XA	3D	0.0	0.0
20.0	-16.1	1	XA	3D	0.0	0.0
20.0	-19.5	-1	XA	3D	0.0	0.0
20.0	0.0	1	XARepump	3D	0.0	0.0
20.0	-9.3	1	XARepump	3D	0.0	0.0
20.0	-15.1	1	XARepump	3D	0.0	0.0
20.0	-18.1	1	XARepump	3D	0.0	0.0
