Speed	av	del_av	ar	del_ar	PF1Down	PF0	PF1Up	PF2	PExc
-25.149	-7413.119274279702	310.14183828069014	7412.1329523979975	310.1637912740921	0.1338587029795436	0.03646695688277806	0.10727019697535216	0.18707236472218508	0.11473557183225681
-20.1192	-9533.246087907946	250.14300683541276	9529.84053681189	250.1143502512899	0.13370521856686707	0.036787310103452084	0.11577190935259461	0.1747864488135151	0.11795579061893019
-15.0894	-6686.331343721305	136.01012229384705	6684.438895629291	135.99474553444577	0.12716464822912388	0.03559190685634196	0.1117918177373565	0.16316410067038306	0.11181752082188036
-10.0596	-2528.9846979538834	53.1739731510831	2526.4363146488135	53.10413607198335	0.13375970610593918	0.03676829717375442	0.1176904191337432	0.1630031499077829	0.1142841915238259
-5.0298	1597.143107349557	52.49746390033727	-1599.3637914738342	50.78120005748622	0.13685325314119734	0.03563134346198026	0.11941386969964238	0.16469439218667284	0.11178588502627057
-3.77235	1597.367729329423	79.15610933092717	-1600.717280408382	78.22278602341231	0.1377127390798762	0.03423514203273197	0.12122723441306528	0.16914101323829844	0.11059795118223753
-2.5149	1917.6773944743695	72.69502838247959	-1884.5708422025884	69.69719833783881	0.14181040122804606	0.031035964358414117	0.12460466064053266	0.18352247961027046	0.10482582012996895
-1.25745	1436.3986917004863	55.26013435041876	-1418.2640271444197	52.52997874227483	0.15328547358794095	0.02821403532950758	0.1236859800885175	0.22122687227194182	0.09537377442741711
-0.50298	1496.430505678727	74.92849299372139	-1488.5698682530028	67.13885742401986	0.17239873053868604	0.026756880754228933	0.1134509278317414	0.28007536823987184	0.08499726387332242
-0.25149	1553.2501494457474	51.28238630757283	-1516.0627923076488	48.308873754512994	0.18087976578363768	0.024535403776335694	0.10322115775462284	0.31189563959317984	0.0763304998602356
0.25149	1328.28542304155	51.29399803254011	1285.3435995550574	48.31787499383077	0.18005945793900724	0.024814842493482304	0.10241391002975037	0.31652267911561266	0.07524111188244141
0.50298	1356.89831812506	94.73312619891121	1347.9301587281211	90.03688907075994	0.17248289444217477	0.026672127461595484	0.11242458408255324	0.2890499522775847	0.08349589760099306
1.25745	1088.0370416610758	89.89464177428292	1088.9786269491428	87.30609663618979	0.15385849197743195	0.027893692987713874	0.1236422704440497	0.23257732993400534	0.09459677933772563
2.5149	1565.7204593223007	90.67866994292953	1559.8063563176022	88.03397260367345	0.14137975244829704	0.030473897279439978	0.1230683568299881	0.1880399345991008	0.10296934424195825
3.77235	1076.7805735344368	81.49174085968862	1082.4310145611223	80.54167433956334	0.1374293722304847	0.03381631641172897	0.11999272946373007	0.17091001300915462	0.10956410546847996
5.0298	1093.050044580396	54.72974490267596	1094.6998784350742	53.07072688714839	0.13709470100158533	0.035559564524808074	0.11913994335714045	0.166018552114413	0.11167109039788897
10.0596	-2792.3251450687285	70.06966344385779	-2792.1716159157986	70.08674087088237	0.13398457249909332	0.036937193848506196	0.11821191308281119	0.1629675272035265	0.11449688522830184
15.0894	-7166.083477426767	168.55299572049705	-7165.879710979442	168.7073618910531	0.1294432835194932	0.03575214477600072	0.11330414365253404	0.16279161333734102	0.11232475941752751
20.1192	-9903.384230606565	235.5986525680261	-9898.92949477918	235.64499144811808	0.13401791545010733	0.036937055543571524	0.11600962957503533	0.17805866687678865	0.1180793502370553
25.149	-7800.679944931188	324.39052184637467	-7801.937827781135	324.50602669087243	0.13709626743543443	0.03661561158621647	0.10809539080756297	0.18577252867285526	0.11466104913470124
