displacement (mm),userSpeed (Gamma/kA),userSpeed (m/s),longSpeed (Gamma/kA),longSpeed (m/s),forceProjOnVelAve (1e-3\hbar*k*\Gamma),forceProjOnVelStd (1e-3\hbar*k*\Gamma),accelProjOnVelAve (mm/ms^2),accelProjOnVelStd (mm/ms^2),forceProjOnPosAve (1e-3\hbar*k*\Gamma),forceProjOnPosStd (1e-3\hbar*k*\Gamma),accelProjOnPosAve (mm/ms^2),accelProjOnPosStd (mm/ms^2),forceProjOnLongAve (1e-3\hbar*k*\Gamma),forceProjOnLongStd (1e-3\hbar*k*\Gamma),accelProjOnLongAve (mm/ms^2),accelProjOnLongStd (mm/ms^2),PF1Down,PF0,PF1Up,PF2,PExc
0.5,-5.0,-21.978450000000002,32.0,140.66208,-23.139406573573126,5.571624105588507,-5.391230085092172,1.2981278238647218,23.1512247224956,5.564875040378309,5.393983585265927,1.2965553650684352,0.0,0.0,0.0,0.0,0.2585126673441657,0.057718716343984275,0.23381715383332285,0.26074173949111246,0.1892097229874272
0.5,-4.0,-17.58276,32.0,140.66208,-24.081502663571346,3.806107364427471,-5.610728228542693,0.8867816235887018,24.100378539737218,3.810520444046355,5.615126102409699,0.8878098231466113,0.0,0.0,0.0,0.0,0.2557816493990025,0.05733107161944563,0.2266209171462706,0.2741296186259893,0.186136743209305
0.5,-3.0,-13.18707,32.0,140.66208,-24.64369551184912,3.4693285096454765,-5.741713048210468,0.8083158129746482,24.64611180848805,3.4757044601659985,5.742276019049538,0.8098013401059513,0.0,0.0,0.0,0.0,0.26521517907323056,0.058680927352995155,0.23002131546874413,0.25856662099546673,0.1875159571095768
0.5,-2.0,-8.79138,32.0,140.66208,-18.046108192317575,1.1150558065540828,-4.204546953091003,0.2597958764299807,18.05437710221493,1.1354235634084784,4.206473519170724,0.2645413422728545,0.0,0.0,0.0,0.0,0.26870199977465603,0.055900026949959145,0.24313518460334954,0.2596002958709399,0.17266249280110763
0.5,-1.0,-4.39569,32.0,140.66208,-4.992447752424167,0.8440569169791685,-1.1631860322580325,0.1966560823364089,4.960658065781039,0.8921348906147797,1.1557793809905874,0.20785772733410735,0.0,0.0,0.0,0.0,0.2338558423600665,0.05286749834311334,0.2280098869672657,0.332036101955242,0.15323067037432236
0.5,-0.75,-3.2967675,32.0,140.66208,-1.4746559783372328,0.8635928515413949,-0.343578805718053,0.20120774263147254,1.323339845342965,0.9420797351248879,0.30832379232932655,0.21949433294289875,0.0,0.0,0.0,0.0,0.2314136667281984,0.05097227932043305,0.21779648772560492,0.35365164400989396,0.14616592221587954
0.5,-0.5,-2.197845,32.0,140.66208,3.569450852057247,1.7401325744583374,0.8316432299023021,0.4054319654931419,-3.2751128943396717,1.587078702450892,-0.7630656867494077,0.3697720778126703,0.0,0.0,0.0,0.0,0.23675998491812006,0.048137720846135476,0.202272393434474,0.386075274840011,0.12675462596126905
0.5,-0.25,-1.0989225,32.0,140.66208,2.604396332433843,2.3467293819798174,0.6067960220274953,0.5467624247610815,-2.4936056894791654,2.22613205255789,-0.5809830070936498,0.5186645585304147,0.0,0.0,0.0,0.0,0.2412682197241542,0.0442847969529047,0.1965064029316574,0.41035365671718094,0.1075869236741119
0.5,-0.1,-0.43956900000000004,32.0,140.66208,1.2961488843662738,0.907235338066863,0.3019885941299257,0.21137596736948494,-1.4062513618660302,0.8673796102674652,-0.3276412739967374,0.20209001623274508,0.0,0.0,0.0,0.0,0.23097234964221142,0.03833758607031351,0.2158245724859498,0.4172769399239404,0.09758855187759401
0.5,-0.05,-0.21978450000000002,32.0,140.66208,0.0992834058457745,0.24545520567544693,0.023131953831411593,0.05718839353863407,-0.11060430245954198,0.29165298127468986,-0.02576959962497598,0.06795197284145955,0.0,0.0,0.0,0.0,0.22667504482921,0.035259287992280924,0.2200706073435024,0.4269480273978746,0.09104703243714399
0.5,0.05,0.21978450000000002,32.0,140.66208,0.8145371213503219,0.19081736386506878,0.18977829098968663,0.04445837059634167,0.8382042565071893,0.21676140388695472,0.1952924760955125,0.05050304977383487,0.0,0.0,0.0,0.0,0.2412632899612724,0.03677760687372402,0.21583634263050888,0.41737294509284406,0.08874981544166177
