Speed	av	del_av	ar	del_ar	PFHigh	PFLow	PFeThreeHalfHigh	PFeThreeHalfLow
-29.97	-0.002786295244899333	0.0014185472962771454	0.0027865308709683475	0.001418668790373725	0.5000001038062419	0.4999998898249507	5.937179096054482e-9	4.3162603854329904e-10
-26.22375	-0.0003019283802795081	0.0017822427671532234	0.00030195442834384125	0.0017824249111022524	0.5000001323302035	0.49999986348707326	3.749667309937159e-9	4.3305555625992077e-10
-22.4775	5.718111253335024e-5	0.00027591130135494495	-5.719647167548097e-5	0.000275945656492011	0.5000000900291836	0.49999990684123224	2.8330094878801565e-9	2.965745583345565e-10
-18.73125	0.0006897575059732874	0.0003217365357135911	-0.0006899055447915196	0.0003218172240460282	0.5000000459504641	0.49999995228088634	1.5949029053497938e-9	1.737484106976917e-10
-14.985	6.02991222205456e-5	0.0005949231359356707	-6.031755643850849e-5	0.0005951177164907403	0.5000000292832024	0.49999996963575805	9.585783444123136e-10	1.2246135207334286e-10
-11.23875	-9.565332757834215e-5	0.0003938140573473059	9.57054490402632e-5	0.00039402921824245834	0.5000000266957922	0.49999997255188233	6.465689978225912e-10	1.0575149011781256e-10
-7.4925	0.0003051008911342944	0.0007401792528335842	-0.0003054878240503381	0.000741117332524953	0.5000000275762593	0.49999997183810646	4.872180544443404e-10	9.841893381898799e-11
-5.994	0.00017791905670090926	0.0002855721992633668	-0.00017829072759242435	0.00028616028390933147	0.500000028561274	0.4999999708855413	4.560633314211263e-10	9.71177762815705e-11
-4.4955	6.945925831178898e-5	0.00018883665108317455	-6.973191667134454e-5	0.00018958065827821662	0.5000000311211805	0.49999996833824006	4.4197317362405857e-10	9.86094359427031e-11
-2.997	-1.3254678366568041e-5	0.00013578124393484739	1.327056625097497e-5	0.0001359557443280904	0.5000000366749037	0.4999999627799255	4.417045317572273e-10	1.0346470935555137e-10
-1.4985	1.3956448186929455e-5	0.0002905707099607467	-1.4026393506827847e-5	0.0002920477433012922	0.5000000433581541	0.49999995607887665	4.5151188460803974e-10	1.1146034736980684e-10
-0.74925	0.00018485078057555677	0.00032609242951552275	-0.00018771679110322683	0.00033114947405810916	0.50000004714681	0.4999999522772379	4.5966477778921153e-10	1.1628791630245283e-10
-0.374625	9.909814863921752e-6	0.0005015663821021005	-1.0064854143494383e-5	0.0005093404113616717	0.5000000540858242	0.4999999453274825	4.66567171720834e-10	1.2012879410556566e-10
0.374625	-0.00021540797524581385	0.00019344389242935235	-0.00021876082995612582	0.00019644461951399476	0.5000000613544335	0.4999999380333005	4.833880836496335e-10	1.2887577076809422e-10
0.74925	0.0002086663652217731	0.0002597834578432776	0.0002119201745823534	0.00026382234643763366	0.5000000607340576	0.49999993863731934	4.943785196719169e-10	1.3424441058489087e-10
1.4985	-0.00015471866800688725	0.00019719603329496549	-0.00015550135723838945	0.00019818750060662108	0.5000000674331861	0.4999999319108752	5.128206379968441e-10	1.4311732310229195e-10
2.997	-0.000754592128569604	0.00039536511854580973	-0.0007555557496146296	0.00039587247146347505	0.5000000874426279	0.49999991181671255	5.708148988614625e-10	1.698455907552736e-10
4.4955	0.0003739826597307557	0.0005210214390525606	0.0003754442028676398	0.0005230585978665349	0.5000001051035445	0.4999998940522861	6.431184167083617e-10	2.0105036515388792e-10
5.994	0.00027453654742667585	0.0005477620674595111	0.0002750967130859091	0.0005488884747007663	0.5000001391567963	0.4999998598294642	7.658981983060846e-10	2.4784515131263315e-10
7.4925	0.0007173044672487929	0.00024815231100596145	0.0007182178946708778	0.00024846687731022905	0.5000001734267799	0.49999982534101484	9.399649113117874e-10	2.9224159613157076e-10
11.23875	-0.0017515098117066386	0.000525112493108653	-0.0017525063079560281	0.0005254086034542217	0.5000001597400243	0.4999998384582466	1.5444677005292056e-9	2.5726075323595923e-10
14.985	0.00023561170003338056	0.00024380828480330887	0.00023570419857406116	0.00024389965201937244	0.5000000753020296	0.49999992295907525	1.5982289218205045e-9	1.4066467873282289e-10
18.73125	0.0005907815959651515	0.0004285683663521199	0.0005908966458900493	0.00042865531239132	0.5000000365625131	0.4999999623514409	9.912048277114756e-10	9.484470911611379e-11
22.4775	0.00041295204113117866	0.00026472576848392455	0.0004130109136833904	0.0002647629893893131	0.5000000293871409	0.4999999697636959	7.553881567017457e-10	9.37746411882958e-11
26.22375	-0.0005858115050853865	9.693756229788117e-5	-0.0005858741168231405	9.694640970461418e-5	0.5000000193613989	0.4999999800512082	4.902388955391529e-10	9.715184068713648e-11
29.97	3.878723574519343e-5	8.583886838132047e-5	3.8792143640449447e-5	8.584426624059858e-5	0.4999999613479169	0.5000000383415999	2.3566396304379206e-10	7.482154701199413e-11
