displacement (mm),userSpeed (Gamma/kA),userSpeed (m/s),longSpeed (Gamma/kA),longSpeed (m/s),forceProjOnVelAve (1e-3\hbar*k*\Gamma),forceProjOnVelStd (1e-3\hbar*k*\Gamma),accelProjOnVelAve (mm/ms^2),accelProjOnVelStd (mm/ms^2),forceProjOnPosAve (1e-3\hbar*k*\Gamma),forceProjOnPosStd (1e-3\hbar*k*\Gamma),accelProjOnPosAve (mm/ms^2),accelProjOnPosStd (mm/ms^2),forceProjOnLongAve (1e-3\hbar*k*\Gamma),forceProjOnLongStd (1e-3\hbar*k*\Gamma),accelProjOnLongAve (mm/ms^2),accelProjOnLongStd (mm/ms^2),PF1Down,PF0,PF1Up,PF2,PExc
0.5,0.1,0.43956900000000004,32.0,140.66208,1.6104247372734466,0.2831138185756975,0.3752114500326438,0.06596244079801979,1.5803480853016307,0.277760304295735,0.3682039172139548,0.06471513019152969,0.0,0.0,0.0,0.0,0.2467152317387435,0.0398309332928382,0.21072401033758684,0.4077358143620827,0.09499401026875741
0.5,0.25,1.0989225,32.0,140.66208,3.087944089889576,0.5487586980737963,0.7194573908178032,0.12785480876982666,3.094327687536402,0.5389247476023539,0.7209446996463709,0.12556360525653104,0.0,0.0,0.0,0.0,0.24450066739570517,0.044245901532241075,0.19878603798985114,0.4054844012336406,0.10698299184857155
0.5,0.5,2.197845,32.0,140.66208,3.79324100551444,0.30052377984459927,0.8837839018866791,0.07001877243620401,3.723192168779112,0.3285806148800358,0.8674632847251088,0.0765557098747062,0.0,0.0,0.0,0.0,0.23913474182361857,0.04873507065318681,0.20198574420201537,0.38257548547608344,0.12756895784510452
0.5,0.75,3.2967675,32.0,140.66208,-0.28575478755410477,0.7839029222578805,-0.06657775784882287,0.1826408557553495,-0.3099292331384114,0.7769699727796914,-0.07221014076712051,0.18102555392440606,0.0,0.0,0.0,0.0,0.24006477507307172,0.05203998096003735,0.2170753095669317,0.3459510077231721,0.14486892667679724
0.5,1.0,4.39569,32.0,140.66208,-4.0753053629413705,0.6135342310762126,-0.9495018296501757,0.14294680351006092,-4.066702772061598,0.610213995263045,-0.9474975195304108,0.14217322467394708,0.0,0.0,0.0,0.0,0.23837702696667828,0.05370466613417395,0.2297368257539439,0.3254319028685385,0.15274957827667546
0.5,2.0,8.79138,32.0,140.66208,-17.94357127767831,1.027457573231446,-4.18065696709339,0.23938644071742962,-17.89137177036806,1.026599715503286,-4.16849504957216,0.2391865691961752,0.0,0.0,0.0,0.0,0.2705456492566947,0.056516242258253344,0.2389651429830466,0.26271049965123605,0.17126246585078114
0.5,3.0,13.18707,32.0,140.66208,-25.248599197025744,1.7471663747745558,-5.882649028385164,0.40707076447256935,-25.213226302565058,1.7462346325249014,-5.874407528664466,0.4068536786613185,0.0,0.0,0.0,0.0,0.26649606770419976,0.05990011487168734,0.22918020863934557,0.25755679191866154,0.18686681686611892
0.5,4.0,17.58276,32.0,140.66208,-22.916395951480993,1.1576208482871948,-5.339271035438265,0.26971306824884256,-22.911635769295053,1.1586339870019706,-5.338161964757054,0.2699491185512608,0.0,0.0,0.0,0.0,0.2577901600044433,0.05719264327945288,0.22718351923110913,0.27580267006899817,0.18203100741600925
0.5,5.0,21.978450000000002,32.0,140.66208,-23.285651412536225,1.724855265786167,-5.425303542123165,0.4018725187168919,-23.276475375894414,1.7225730469935503,-5.423165625377203,0.4013407865578844,0.0,0.0,0.0,0.0,0.25624577505049195,0.05725717201735721,0.23715467993597295,0.2620859924147438,0.18725638058144692
1.5,-5.0,-21.978450000000002,32.0,140.66208,-22.691700670939415,2.067290834684273,-5.286919478686698,0.481656282201888,22.686539164913682,2.0646451330282702,5.285716903915308,0.48103986248867414,0.0,0.0,0.0,0.0,0.26242381853697455,0.05633184469510919,0.23968180694238223,0.2582678082863641,0.18329472153918286
