Speed	av	del_av	ar	del_ar	PF1Down	PF0	PF1Up	PF2	PExc
-20.1192	-512.4058366997241	26.23325882329546	512.4532585109391	26.235629758130713	0.42351761212522593	0.12655134875803686	0.18092661207546284	0.26385498585391837	0.005149441187356194
-15.0894	-1135.1033422359615	74.43136279302871	1135.2167119894084	74.44380631501964	0.35867090349085484	0.09879538526658871	0.24684205643533777	0.28841592474631644	0.007275730060902812
-10.0596	-1802.6153514829057	95.2209232770265	1803.194588352349	95.24442727698025	0.2898690248163017	0.07437429992850826	0.29744760259246883	0.3276709008640988	0.0106381717986231
-5.0298	-770.7127543543282	51.693189413707586	771.6363803536445	51.759897644825266	0.37721864455201265	0.10130978907364907	0.24255867875343495	0.2701930625899722	0.008719825030931891
-2.5149	-250.56860648971536	36.20295119159887	251.659759375111	36.388466971289134	0.38476725775422166	0.11399778497459451	0.24025979172651518	0.25261938810371176	0.008355777440957555
-0.50298	153.01364009141165	29.25206365786301	-155.64299061725512	29.733460413424574	0.3830684001310506	0.10929030389762141	0.2278440067131525	0.2725374220937255	0.007259867164450681
-0.25149	248.95894014498313	28.723807531057016	-252.99383569199114	29.152917260127467	0.39028872287549055	0.1097371833992051	0.23375293793774177	0.25873105880121805	0.0074900969863453135
0.25149	-250.59743211164658	29.165406274117593	-254.24390899799613	29.607941971198365	0.3833886394373134	0.10592117671257245	0.23481196897639675	0.26857013674302876	0.007308078130689895
0.50298	-316.5108938424028	31.56342649195338	-321.2986603965234	32.047721205133904	0.3823617835264997	0.1076864267296879	0.226124320738855	0.27667813874713676	0.007149330257821453
2.5149	-692.3713260011114	49.8780850174816	-695.78421142562	50.125447672651056	0.3783312715560788	0.10550362726029204	0.2156757590831514	0.2932080965277728	0.00728124557270528
5.0298	-1173.9370308551286	70.91983292841654	-1175.4281283214614	71.00887781684976	0.3767240121780876	0.09575116180873147	0.20794107101140075	0.31161438471286873	0.007969370288911776
10.0596	-2195.3514286811396	134.57336520652512	-2196.05149680954	134.6183284858559	0.3026650474858446	0.07038100067402868	0.2298956381136738	0.3873743390196221	0.00968397470683163
15.0894	-1499.7598937285386	79.4771594816757	-1499.9734007272339	79.48919654252262	0.32408655218926713	0.10723950832656719	0.19734514299263495	0.3644108568101417	0.006917939681389729
20.1192	-564.3690360975625	42.20890938908662	-564.4160242853665	42.21149460863121	0.44522360287429186	0.12054330719353776	0.1470024697116589	0.28306026478995816	0.004170355430553536
