Speed	av	del_av	ar	del_ar	PF1Down	PF0	PF1Up	PF2	PExc
-25.149	-78.01907094631021	1.6236300618235078	78.02289588342211	1.6236501807887753	0.32469686678405074	0.10379377511396765	0.2083984339214893	0.3617960500264284	0.0013148741540643114
-20.1192	-169.5757304507765	3.5391251392797445	169.58695788520959	3.539433209797121	0.3350229643556685	0.11476135856534617	0.22210064840051819	0.3265065762687724	0.001608452409694619
-15.0894	-306.4778340199711	10.514506935898414	306.52029398659363	10.51599579644923	0.2985460744198331	0.09926113464283334	0.2551752768983905	0.3449069417190853	0.0021105723198579117
-10.0596	-473.7838585049955	12.116075225693962	473.93443459524343	12.120030795362577	0.2936911115628162	0.07598476867043265	0.2687294036481769	0.35866135660145837	0.002933359517116098
-5.0298	-220.50261210783282	4.905032286401018	220.78158004490356	4.91137670918286	0.32666701609111903	0.10760274743875925	0.24984419978783584	0.31324421311444295	0.002641823567843106
-3.77235	-137.2483666215686	3.8373899213129974	137.52769745745104	3.8454900749363405	0.3341024073027679	0.1121404756238265	0.2419001420643487	0.309410614225339	0.0024463607837180595
-2.5149	-40.08805364653133	3.1856710275107614	40.28511089590135	3.201937051006325	0.3382307121664409	0.11516139702963128	0.23983991040178654	0.304477798085029	0.002290182317112424
-1.25745	39.77423183675061	3.9911376418384212	-39.898174029904446	4.0033769631353655	0.3464882879414432	0.11779661295592866	0.23742710758561703	0.2961184001287436	0.0021695913882675065
-0.50298	88.1238430250969	4.079287412470512	-89.50158239409683	4.142751255158281	0.34310169046887984	0.11742872916107382	0.23631606613894887	0.3010248985797407	0.002128615651357012
-0.25149	91.56879048848658	4.008538857511927	-92.99087514570014	4.070457086518983	0.35068390449442327	0.11640207959039786	0.23325391474328716	0.29764163605332805	0.002018465118563912
0.25149	-125.96018394419386	3.8090426565861257	-127.91081148059259	3.868354545593562	0.35081718828362635	0.11739516468584178	0.2367331072929033	0.2929671459863163	0.0020873937513122423
0.50298	-152.1274716627288	4.720286629990229	-154.4821447973306	4.793109745095799	0.33499558207745245	0.11554335474328994	0.23440885643913092	0.3129788600395982	0.0020733467005285672
1.25745	-192.32134183111165	4.967983516591651	-192.91190855700958	4.983130202804437	0.32972346236646183	0.11407446717344133	0.2324290204791578	0.32172864797192685	0.002044402009012179
2.5149	-288.2578837964934	4.851591750908595	-289.72076236202304	4.876307573527495	0.31402690402026356	0.11140186223999256	0.23297450071922296	0.3393747649336865	0.002221968086834625
3.77235	-351.7972045031415	3.716035879778893	-352.52181009306196	3.7236072289168716	0.30497055215097285	0.10662423696580295	0.23099429458604528	0.3551248282919957	0.0022860880051833532
5.0298	-400.6505416569562	4.300847289877444	-401.1612650037834	4.306342797828837	0.29882428501696334	0.10112584730921242	0.23031787588273897	0.36736488800828526	0.0023671037828002497
10.0596	-588.0291909819433	11.049328388039255	-588.2170863572909	11.052895290102962	0.2781859436279357	0.06961149112249725	0.24617620474219706	0.40341273314953013	0.002613627357840086
15.0894	-372.77024985055357	9.167614829355546	-372.8232793511889	9.16894347456102	0.30500100960465504	0.0984163322602342	0.22684878743974213	0.36768038588556423	0.0020534848098048976
20.1192	-179.39886563962745	6.223524906685463	-179.41234438101495	6.223965947848468	0.3453275992370402	0.10746481852647286	0.20343474616958485	0.3423403287524517	0.0014325073144505248
25.149	-83.54487540139068	3.8696237151624957	-83.54991141058312	3.86971217541292	0.33619505122759713	0.10382359014843325	0.20544339252227267	0.3534393689078319	0.0010985971938651928
