s0	energy	polSign	whichTransition	polType	sidebandFreqs	sidebandAmps
10.0	-1.1	1	XA	3D	0.0	0.0
20.0	-9.8	1	XA	3D	0.0	0.0
10.0	-18.6	1	XA	3D	0.0	0.0
31.3	-26.8	-1	XA	3D	0.0	0.0
8.7	-20.8	-1	XA	3D	0.0	0.0
20.0	0.0	1	XARepump	3D	0.0	0.0
20.0	-7.5	1	XARepump	3D	0.0	0.0
20.0	-19.6	1	XARepump	3D	0.0	0.0
20.0	-25.9	1	XARepump	3D	0.0	0.0
