Speed	av	del_av	ar	del_ar	LongSpeed	az	del_az	PF1Down	PF0	PF1Up	PF2	PExc
0.43956900000000004	0.0	0.0	0.0	0.0	26.37414	-1511.1941050157575	1.588582278758269e-11	0.5355548928748024	0.018208313201502728	0.13505852270419688	0.30552834662435724	0.005649924595141171
0.43956900000000004	0.0	0.0	0.0	0.0	30.76983	-1655.4252839961448	4.6322754635722624e-7	0.5197651372964938	0.01819782034827297	0.1459015029954346	0.3099442512142676	0.006191288145531169
0.43956900000000004	0.0	0.0	0.0	0.0	35.16552	-1875.1407735087737	2.1556788858154048e-7	0.47374970323127963	0.027136361888942667	0.16884418687918087	0.32325543299409665	0.0070143150065002935
0.43956900000000004	0.0	0.0	0.0	0.0	39.56121	-2312.5050631300946	1.94370991386874e-7	0.38679143924567294	0.04085974826485798	0.20407025608504623	0.35962198010429386	0.008656576300129176
0.43956900000000004	0.0	0.0	0.0	0.0	43.956900000000005	-2963.0258795351065	1.6205340832617047e-7	0.2697930824585585	0.047472716189918225	0.24655334599397846	0.42508167330956825	0.011099182047976473
0.43956900000000004	0.0	0.0	0.0	0.0	48.35259	-3381.7354723507906	5.405440140836669e-7	0.1624819145846814	0.060358427192282	0.27795889529319673	0.48653570030068594	0.012665062629154487
0.43956900000000004	0.0	0.0	0.0	0.0	52.74828	-3254.5158015927705	3.973597116530154e-7	0.11897184257748371	0.06864737750201444	0.2878223385899253	0.5123807238489988	0.012177717481578722
0.43956900000000004	0.0	0.0	0.0	0.0	57.14397	-2965.1699498271587	8.444373815245732e-11	0.14393351717553515	0.07003273152256279	0.27420389624455005	0.5007438636301728	0.01108599142717969
0.43956900000000004	0.0	0.0	0.0	0.0	61.53966	-2933.649861451118	1.3799992321826604e-6	0.14450196290460746	0.07277072266664396	0.27530535393156247	0.4964550934485543	0.01096686704863188
0.43956900000000004	0.0	0.0	0.0	0.0	65.93535	-2966.4326660191905	4.0796392490213165e-7	0.14283576109131818	0.07614323910409827	0.272274319074171	0.49766517110451647	0.011081509625896775
0.43956900000000004	0.0	0.0	0.0	0.0	70.33104	-2802.912317195843	1.1089335660709618e-6	0.1897705877052197	0.07182352668595406	0.2584079835995984	0.4695358259885323	0.010462076020696646
0.43956900000000004	0.0	0.0	0.0	0.0	74.72673	-2897.730959290063	4.582584764107454e-7	0.1889071834094978	0.0769083284724087	0.2628279371650671	0.4605399064791344	0.010816644473893121
0.43956900000000004	0.0	0.0	0.0	0.0	79.12242	-2860.6640621518077	9.397166797794477e-7	0.19736666809317416	0.08003445720417085	0.2587760584960542	0.4531538494498286	0.010668966756772067
0.43956900000000004	0.0	0.0	0.0	0.0	83.51811000000001	-2957.0282129344037	4.0763142291447003e-7	0.2170533163190102	0.07435153740665573	0.2582793241493972	0.43927760896464585	0.011038213160291119
0.43956900000000004	0.0	0.0	0.0	0.0	87.91380000000001	-2862.1654059177777	2.048102016567476e-6	0.2155381579634208	0.08245914706858326	0.24760647798743163	0.44371409647438387	0.010682120506180795
0.43956900000000004	0.0	0.0	0.0	0.0	92.30949	-2796.2896831447274	1.4898549219294054e-6	0.2160039274904695	0.08809436808302501	0.23526702122650114	0.4501975144300556	0.010437168769948657
0.43956900000000004	0.0	0.0	0.0	0.0	96.70518	-2895.5479835237024	3.705966162485484e-6	0.2320936601312352	0.08766416396271967	0.24295289705648948	0.4264868058155931	0.010802473033962059
0.43956900000000004	0.0	0.0	0.0	0.0	101.10087	-2945.3443937367265	4.2281888712195407e-7	0.2498624794082474	0.08190384268091819	0.25060195108802114	0.4066482405272594	0.010983486295554628
0.43956900000000004	0.0	0.0	0.0	0.0	105.49656	-2793.1739118303085	1.5042752822475089e-7	0.2378597898310203	0.07867988314517381	0.24655973706156414	0.42648808690336565	0.010412503058876529
0.43956900000000004	0.0	0.0	0.0	0.0	109.89225	-2943.672019831953	3.621745078216214e-7	0.25636399477939265	0.08850307354309199	0.26456151132016215	0.37958013777570615	0.010991282581647829
0.43956900000000004	0.0	0.0	0.0	0.0	114.28794	-2896.684589883098	8.006817577094186e-8	0.2607128846471036	0.08996109595880451	0.24777409280810908	0.3907375488762412	0.010814377709742347
0.43956900000000004	0.0	0.0	0.0	0.0	118.68363000000001	-2985.6679131831665	1.9412528586356807e-6	0.26444230056882545	0.09336937681965446	0.245930498719851	0.3851135772290229	0.011144246662645876
0.43956900000000004	0.0	0.0	0.0	0.0	123.07932	-3110.114441283681	7.379241338571272e-7	0.2831852221363384	0.0968367450775227	0.24895083327851797	0.3594127285766926	0.011614470930928213
0.43956900000000004	0.0	0.0	0.0	0.0	127.47501	-3047.4927736409086	1.6555829913004029e-6	0.2830665467489155	0.09550262459118328	0.24482971823534513	0.36521796474169127	0.011383145682864668
0.43956900000000004	0.0	0.0	0.0	0.0	131.8707	-3135.7904964928343	1.2539752964335538e-6	0.2989940660042054	0.10052644648612521	0.23896455367613742	0.34979420011466145	0.0117207337188708
0.43956900000000004	0.0	0.0	0.0	0.0	136.26639	-3435.6989950053276	2.407530259673911e-7	0.31434022197801803	0.11338060575333955	0.2580045225555605	0.30142428312238445	0.01285036659069846
0.43956900000000004	0.0	0.0	0.0	0.0	140.66208	-2960.5188909656677	5.919341603327564e-7	0.28824426115155605	0.09720291962328853	0.21377557475239956	0.38971368678564083	0.011063557687115453
0.43956900000000004	0.0	0.0	0.0	0.0	145.05777	-3690.5295209082387	1.359426574051899e-5	0.3402043576378166	0.11889632178736562	0.25048749765695216	0.27660199119928675	0.013809831718579656
0.43956900000000004	0.0	0.0	0.0	0.0	149.45346	-4102.284374614132	4.740088513571176e-7	0.39593252272075846	0.11953627731795709	0.26040186547489996	0.2087673691241707	0.015361965362214623
0.43956900000000004	0.0	0.0	0.0	0.0	153.84915	-3933.458656506954	4.404772061310854e-6	0.3633879222889101	0.11026956720940127	0.2464934059898678	0.2651205198078963	0.014728584703924363
0.43956900000000004	0.0	0.0	0.0	0.0	158.24484	-3119.09668921547	4.347627297228776e-6	0.2973707084399162	0.08877477020152962	0.18042047316852475	0.4217724201226105	0.011661628067418887
0.43956900000000004	0.0	0.0	0.0	0.0	162.64053	-2125.85370773986	1.5912264286726554e-6	0.24472310402458258	0.0561251479764655	0.10140010606192087	0.5898210958408614	0.007930546096169852
