s0	energy	polSign	whichTransition	polType	sidebandFreqs	sidebandAmps
10.0	1.1	1	XA	3D	0.0	0.0
20.0	-5.2	1	XA	3D	0.0	0.0
10.0	-18.6	1	XA	3D	0.0	0.0
31.3	-25.0	-1	XA	3D	0.0	0.0
8.7	-18.4	-1	XA	3D	0.0	0.0
