s0	energy	polSign	whichTransition	polType	sidebandFreqs	sidebandAmps
10.0	-1.1	1	XA	3D	0.0	0.0
20.0	-9.7	1	XA	3D	0.0	0.0
10.0	-18.5	-1	XA	3D	0.0	0.0
31.3	-26.6	-1	XA	3D	0.0	0.0
8.7	-20.7	-1	XA	3D	0.0	0.0
